,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
331,332,1,1,1.2159466425950585,0,0,-0.07458306872129913,False,False,True
733,734,2,1,-0.5155262490625547,0,0,-0.3866707201133388,False,False,True
382,383,3,1,0.17706290760049057,0,0,-0.4888542575852486,False,False,True
704,705,3,1,-0.2846631968415396,1,0,-0.4902797934380587,False,False,True
813,814,3,0,-1.8237502116483069,4,2,-0.01870931177853076,False,False,True
118,119,1,1,-0.4385718983222164,0,1,4.335332226633905,True,False,False
536,537,1,1,1.1774694672248893,0,0,-0.11384570873513637,False,False,True
361,362,2,1,-0.05380014462052453,1,0,-0.09027201697708476,True,False,False
29,30,3,1,0.0,0,0,-0.4894421904510968,False,False,True
55,56,1,1,0.0,0,0,0.06635974158478332,False,False,True
865,866,2,0,0.9466064150038742,0,0,-0.3866707201133388,False,False,True
595,596,3,1,0.48488031056184405,1,1,-0.1621689579829361,False,False,True
239,240,2,1,0.25401725834082894,0,0,-0.4012683683236117,False,False,True
721,722,3,1,-0.977252353504585,1,0,-0.5063875431873253,False,False,True
81,82,3,1,-0.05380014462052453,0,0,-0.45714212526638004,False,False,True
259,260,2,0,1.5622412209265812,0,1,-0.12491978668775715,False,False,True
486,487,1,0,0.40792595982150565,1,0,1.163700193253568,False,False,True
716,717,1,0,0.6387890120425208,0,0,3.9327230485884233,True,False,False
800,801,2,1,0.3309716090811673,0,0,-0.3866707201133388,False,False,True
781,782,1,0,-0.977252353504585,1,0,0.49925551609632224,False,False,True
542,543,3,0,-1.4389784579466152,4,2,-0.01870931177853076,False,False,True
326,327,3,1,2.4087390790703034,0,0,-0.5228315422126077,False,False,True
534,535,3,0,0.02315420611981384,0,0,-0.47400492578514347,False,False,True
535,536,2,0,-1.7467958609079686,0,2,-0.11988611489111134,False,False,True
483,484,3,0,2.56264778055098,0,0,-0.455380340137554,False,False,True
762,763,3,1,-0.7463893012835698,0,0,-0.5028639729296732,True,False,False
533,534,3,0,0.0,0,2,-0.19824427701513722,True,False,False
713,714,3,1,-0.05380014462052453,0,0,-0.457478374542396,False,False,True
390,391,1,1,0.48488031056184405,1,2,1.7677408088510642,False,False,True
495,496,3,1,0.0,0,0,-0.3573083057891445,True,False,False
482,483,3,1,1.5622412209265812,0,0,-0.4863374216869257,False,False,True
377,378,1,1,-0.20770884610120124,0,2,3.610064686423428,True,False,False
365,366,3,1,0.02315420611981384,0,0,-0.5024451714361923,False,False,True
412,413,1,0,0.25401725834082894,1,0,1.163700193253568,False,True,False
468,469,3,1,0.0,0,0,-0.4928811950225652,False,True,False
409,410,3,0,0.0,3,1,-0.13565761536436197,False,False,True
7,8,3,1,-2.1315676146096605,3,1,-0.22408312108167944,False,False,True
580,581,2,0,-0.361617547581878,1,1,-0.04438103794142432,False,False,True
155,156,1,1,1.6391955716669195,0,1,0.5874293382238074,True,False,False
880,881,2,0,-0.361617547581878,0,1,-0.12491978668775715,False,False,True
425,426,3,1,0.0,0,0,-0.5024451714361923,False,False,True
101,102,3,1,0.0,0,0,-0.4894421904510968,False,False,True
199,200,2,0,-0.4385718983222164,0,0,-0.3866707201133388,False,False,True
424,425,3,1,-0.9002980027642465,1,1,-0.2414492887801075,False,False,True
298,299,1,1,0.0,0,0,-0.034313694348132716,False,False,True
884,885,3,1,-0.361617547581878,0,0,-0.5064721088735089,False,False,True
247,248,2,0,-0.4385718983222164,0,2,-0.35646868933346404,False,False,True
478,479,3,1,-0.5924805998028931,0,0,-0.4969926981460655,False,False,True
305,306,1,1,-2.214678313409226,1,2,2.4029901895877646,False,False,True
316,317,2,0,-0.4385718983222164,1,0,-0.12491978668775715,False,False,True
2,3,3,0,-0.2846631968415396,0,0,-0.4888542575852486,False,False,True
405,406,2,1,0.3309716090811673,1,0,-0.22559322262067316,False,False,True
742,743,1,0,-0.6694349505432314,2,2,4.634416897040849,True,False,False
260,261,3,1,0.0,0,0,-0.49237782784290063,False,True,False
367,368,3,0,0.0,0,0,-0.5028639729296732,True,False,False
158,159,3,1,0.0,0,0,-0.47400492578514347,False,False,True
554,555,3,0,-0.5924805998028931,0,0,-0.4918744606632361,False,False,True
